EDfile_name,index_events_code_start,index_events_code_end,failed/non_failed,update/non-update,id_target,id_update,bhvStat1,failed/non_failed,id_target,id_update,trial_mode,start_of_pre_cue,last_enter_to_target,cue_onset,go_signal,trial_jump,move_onset,in_periphery,end_of_hold,reward,end_of_trial
t5601ee.1.mat,113,114,1,2,3,NaN,36,2,3,NaN,337.0568,337.3015,338.1377,338.7015,339.3852,NaN,339.4526,340.0213,340.4382,340.1346,340.4416,339.7685
t5601ee.1.mat,115,116,1,2,8,NaN,37,2,8,NaN,341.6143,341.8698,343.4,343.9466,344.7476,NaN,344.9987,345.216,345.6342,345.331,345.6381,344.9666
t5601ee.1.mat,117,118,0,2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,119,120,1,2,5,NaN,38,2,5,NaN,349.4083,349.6656,349.895,350.3924,351.1587,NaN,351.4761,351.677,352.0956,351.7922,352.0992,351.4494
t5601ee.1.mat,121,122,1,1,4,7,39,1,4,7,353.2738,353.5335,354.9573,355.4879,356.1377,356.1636,356.1892,356.7558,356.1636,356.8711,357.1777,356.5219
t5601ee.1.mat,123,124,1,2,5,NaN,40,2,5,NaN,358.3535,358.6161,358.9215,359.4175,360.251,NaN,360.319,360.7535,361.1698,360.8685,361.1732,360.4315
t5601ee.1.mat,125,126,0,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,127,128,1,2,8,NaN,41,2,8,NaN,365.2531,365.505,365.5352,366.1119,366.8798,NaN,367.0305,367.3468,367.7653,367.4625,367.7687,366.9409
t5601ee.1.mat,129,130,1,2,7,NaN,42,2,7,NaN,368.9428,369.2031,369.2791,369.7595,370.4595,NaN,370.8776,371.0968,371.512,371.2112,371.5144,370.8345
t5601ee.1.mat,131,132,1,1,8,1,43,1,8,1,372.6839,372.9395,373.6083,374.1551,374.7898,374.9045,375.1069,375.4407,374.9045,375.5559,375.8628,375.0531
t5601ee.1.mat,133,134,1,2,6,NaN,44,2,6,NaN,377.0368,377.2963,377.5224,378.0362,378.8698,NaN,379.2204,379.3926,379.8082,379.5059,379.8109,379.1722
