EDFile,plxMergeEDFiles,KiloMergedEDFiles,ED_trial,Video_trial,Success
t5601ee.10,,t5601ee.10,59,583,1
t5601ee.10,,t5601ee.10,60,584,0
t5601ee.10,,t5601ee.10,61,585,1
t5601ee.10,,t5601ee.10,62,586,1
t5601ee.10,,t5601ee.10,63,587,1
t5601ee.10,,t5601ee.10,64,588,0
t5601ee.10,,t5601ee.10,65,589,1
t5601ee.10,,t5601ee.10,66,590,1
t5601ee.10,,t5601ee.10,67,591,1
t5601ee.10,,t5601ee.10,68,592,1
t5601ee.10,,t5601ee.10,69,593,0
t5601ee.10,,t5601ee.10,70,NaN,0
t5601ee.11,,t5601ee.11,1,594,1
t5601ee.11,,t5601ee.11,2,595,1
t5601ee.11,,t5601ee.11,3,596,1
t5601ee.11,,t5601ee.11,4,597,1
t5601ee.11,,t5601ee.11,5,598,1
t5601ee.11,,t5601ee.11,6,599,1
t5601ee.11,,t5601ee.11,7,600,1
t5601ee.11,,t5601ee.11,8,601,0
t5601ee.11,,t5601ee.11,9,602,1
t5601ee.11,,t5601ee.11,10,603,1
t5601ee.11,,t5601ee.11,11,604,1
t5601ee.11,,t5601ee.11,12,605,1
t5601ee.11,,t5601ee.11,13,606,1
t5601ee.11,,t5601ee.11,14,607,1
t5601ee.11,,t5601ee.11,15,608,1
t5601ee.11,,t5601ee.11,16,609,1
t5601ee.11,,t5601ee.11,17,610,1
t5601ee.11,,t5601ee.11,18,611,1
t5601ee.11,,t5601ee.11,19,612,0
t5601ee.11,,t5601ee.11,20,613,1
t5601ee.11,,t5601ee.11,21,614,1
t5601ee.11,,t5601ee.11,22,615,1
t5601ee.11,,t5601ee.11,23,616,0
t5601ee.11,,t5601ee.11,24,617,1
t5601ee.11,,t5601ee.11,25,618,1
t5601ee.11,,t5601ee.11,26,619,1
t5601ee.11,,t5601ee.11,27,620,1
t5601ee.11,,t5601ee.11,28,621,1
t5601ee.11,,t5601ee.11,29,622,1
t5601ee.11,,t5601ee.11,30,623,0
