id,recording_day,file_number,trial_number_in_file,start_move_in_seconds,stop_turn_in_seconds
742,32,15,81,2.9531903343522954,3.406470737727315
743,32,15,82,1.6687314344209767,
744,32,15,83,1.2659976469895378,
746,32,15,85,7.724849285709743,
747,32,15,86,1.2375888981580274,1.5743450121075167
749,32,15,88,5.139302147558625,
750,32,15,89,1.2493458547952412,
752,32,15,91,1.4970055621952043,1.6169452045679318
753,32,15,92,2.5381307808488964,
754,32,15,93,1.2742829731158951,
755,32,15,94,1.3601303665433628,
756,32,15,95,0.8374318273979714,
757,32,15,96,1.5392575781440783,1.941625704250352
758,32,15,97,1.5117388084062233,
759,32,15,98,2.4797550768661387,
760,32,15,99,1.5699658556465668,
761,32,15,100,0.7786532492258829,
762,32,15,101,0.8511098518895984,1.2088956400680333
764,32,15,103,6.335168997202248,
767,32,15,106,5.115318225085581,
768,32,15,107,1.1277796692884061,1.701915592229969
769,32,15,108,3.6143163586159086,
770,32,15,109,1.9680551345962023,
772,32,15,111,2.8024652100175675,
773,32,15,112,1.0667882763357421,1.3464755830502424
774,32,15,113,3.7957864864993356,
775,32,15,114,1.4602925513414495,
778,32,15,117,1.5995378374274167,1.9328965229344464
779,32,15,118,1.060241099250322,
781,32,15,120,1.2560400601479544,
784,32,15,123,8.998744600863484,9.545730039329541
786,32,15,125,1.293002051692448,
788,32,15,127,1.4499318631913374,
789,32,15,128,1.6353267237532019,1.939420033106786
791,32,15,130,1.7164310962883274,
792,32,15,131,1.424972016876242,
793,32,15,132,1.652226478054368,
795,32,15,134,1.6566944134647565,
796,32,15,135,1.0390619360494637,
799,32,15,138,1.3951241492621869,
803,32,15,142,2.027648368472004,
804,32,15,143,1.5286760115194686,
805,32,15,144,1.5675987375991307,1.9766589173847402
806,32,15,145,1.933212084609661,
807,32,15,146,0.7585850397278064,
809,32,2,1,1.8534812542754417,2.2298003376913074
811,32,2,3,1.2248884645986546,
814,32,2,6,1.3122233670377708,
815,32,2,7,0.9042185108210882,
817,32,2,9,1.1530616647344836,
818,32,2,10,0.7581256474053132,
819,32,2,11,0.969946318373683,1.3977654313373575
820,32,2,12,0.8338325731982307,
821,32,2,13,1.3152022164630899,
823,32,2,15,1.3301507840976814,
824,32,2,16,1.891338315485712,2.201677862861153
826,32,2,18,1.3441817323160141,
827,32,2,19,1.476577004550698,
829,32,2,21,1.4159401892249273,1.7474970683908433
830,32,2,22,1.3062831428337063,
831,32,2,23,1.5048859027165886,
832,32,2,24,0.8463419319319726,
834,32,2,27,0.7760904682476825,
835,32,2,28,0.8522049563598545,
836,32,2,29,1.106961501520433,
837,32,2,30,1.2783212786036644,
838,32,2,31,1.1018398365034165,1.528537402638195
839,32,2,32,1.862761145818227,
841,32,2,34,1.4811090895509655,
842,32,2,35,1.3124891287200111,
843,32,2,36,1.5072544335207327,1.871639533206221
844,32,2,37,1.4932779882258196,
845,32,2,38,0.8095472920440191,
846,32,2,39,0.8188798165976885,
847,32,2,40,1.2656654250621775,
848,32,2,41,0.9052252370357338,1.2131643611430964
849,32,2,42,1.489943358592313,
850,32,2,43,1.0481950064992756,
851,32,2,44,1.2761406818509118,
